Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Pietro Terracciano,ITA,Milan,Italian Serie A,GK,Goalkeeper,35,125,2.88,0.0,2.88,0.14,0.14,1.44,5.04,6.48,21.6,3.6,661.82,4.32,187.2,13.68,0.72,0.0,0.0,1,100.0,77.78,5.26,4.86
Péter Gulácsi,HUN,RB Leipzig,German Bundesliga,GK,Goalkeeper,35,1350,3.73,1.27,2.47,1.25,-0.02,0.47,2.33,7.47,29.47,4.13,844.15,5.33,200.87,13.87,0.8,1.4,24.39,1,66.22,31.19,5.77,22.19
Radosław Majecki,POL,Brest,French Ligue 1,GK,Goalkeeper,25,864,4.27,1.56,2.71,1.17,-0.53,0.31,7.19,15.31,29.06,4.38,1047.49,6.35,326.39,15.1,0.94,0.52,7.22,1,63.47,46.96,6.23,17.39
Razvan Sava,ROU,Udinese,Italian Serie A,GK,Goalkeeper,23,620,3.77,2.03,1.74,1.42,-0.61,0.15,2.76,8.42,23.08,3.48,672.9,5.52,227.82,12.05,0.29,0.87,18.84,1,46.15,32.78,2.41,17.38
Remko Pasveer,NED,Ajax,UEFA Champions League,GK,Goalkeeper,41,180,9.0,4.0,5.0,3.85,-0.15,0.0,5.0,20.5,42.5,6.0,1576.75,6.5,269.75,16.5,0.5,0.0,0.0,1,55.56,24.39,3.03,23.77
Robert Sánchez,ESP,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,2074,3.47,1.13,2.39,1.2,0.06,0.43,5.16,15.97,38.23,4.43,1261.27,4.25,224.57,10.68,1.43,1.0,17.34,1,68.88,32.31,13.39,23.82
Robin Olsen,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,35,270,8.33,2.33,6.0,2.57,0.23,0.0,4.33,12.0,22.67,4.0,852.07,7.33,249.07,15.0,0.0,0.67,10.33,1,72.03,36.08,0.0,22.22
Robin Risser,FRA,Lens,French Ligue 1,GK,Goalkeeper,21,1530,3.59,0.76,2.71,1.06,0.29,0.35,3.06,8.88,26.35,3.94,826.56,4.59,181.32,13.06,0.65,0.59,11.08,1,75.49,34.46,4.98,22.29
Robin Roefs,NED,Sunderland,English Premier League,GK,Goalkeeper,22,1800,4.35,0.95,3.4,1.12,0.16,0.35,4.65,18.4,36.3,4.15,1289.29,5.65,351.54,17.75,1.7,1.1,19.76,1,78.16,25.27,9.58,20.12
Robin Zentner,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,31,1079,3.59,1.0,2.67,0.88,-0.12,0.17,7.34,23.1,31.7,2.17,1383.9,6.09,326.04,11.09,0.83,1.42,24.26,1,74.37,31.77,7.48,18.23
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,33,540,6.0,3.0,3.0,2.68,-0.32,0.17,4.0,8.83,35.33,3.17,1000.17,2.33,66.03,14.17,0.83,0.5,6.93,1,50.0,45.3,5.86,22.33
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,21,540,3.67,1.17,2.33,1.28,0.12,0.67,3.0,11.17,25.83,3.17,828.5,4.0,233.88,11.0,1.33,1.17,20.53,1,63.49,26.86,12.09,22.14
Rui Silva,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,31,450,5.0,1.4,3.6,1.38,-0.02,0.2,3.0,7.6,28.6,4.4,743.94,5.2,167.2,11.0,0.8,0.6,10.38,1,72.0,39.47,7.27,19.87
Ruslan Neshcheret,UKR,Dynamo Kyiv,UEFA Europa Conference League,GK,Goalkeeper,23,540,5.0,1.5,3.5,1.57,0.07,0.33,5.17,12.0,39.67,5.0,1172.32,5.5,235.07,12.33,0.5,1.0,14.02,1,70.0,43.08,4.06,21.98
Rémy Descamps,FRA,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,29,540,2.5,0.67,2.0,0.9,0.23,0.67,1.5,5.67,30.67,3.67,817.4,3.17,96.83,11.67,0.33,0.83,14.53,1,80.0,26.46,2.83,28.8
Sam Johnstone,ENG,Wolves,English Premier League,GK,Goalkeeper,32,1080,4.92,2.0,3.25,1.56,-0.44,0.0,9.25,25.08,32.5,4.5,1362.94,8.33,456.98,17.67,0.75,1.58,26.86,1,66.06,36.88,4.24,20.94
Senne Lammens,BEL,Manchester Utd,English Premier League,GK,Goalkeeper,23,1260,3.71,1.36,2.36,1.49,0.13,0.14,5.57,19.14,27.57,2.21,1098.23,5.79,330.61,16.86,0.86,0.86,18.33,1,63.61,29.1,5.1,25.55
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,32,1620,4.94,1.17,3.78,1.43,0.27,0.28,5.94,13.94,24.39,4.56,805.25,8.83,394.27,14.39,0.67,2.5,57.42,1,76.52,42.61,4.66,22.15
Sergio Padt,NED,Ludogorets,UEFA Europa League,GK,Goalkeeper,35,270,4.67,2.0,3.0,1.53,-0.47,0.0,4.0,14.0,32.0,2.67,1093.73,3.33,121.97,15.0,1.0,1.0,14.97,1,64.24,28.57,6.67,21.05
Sherhan Kalmurza,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,18,180,10.0,4.5,5.0,3.95,-0.55,0.0,4.5,14.0,20.5,5.0,714.3,10.5,510.05,12.0,1.0,1.0,15.0,1,50.0,32.14,8.33,19.75
Simon Mignolet,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,37,18,5.0,0.0,0.0,3.5,0.0,0.0,15.0,25.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1,0.0,60.0,0.0,0.0
Simone Scuffet,ITA,Pisa,Italian Serie A,GK,Goalkeeper,29,180,2.5,1.5,1.0,1.05,-0.45,0.0,8.5,14.0,35.0,5.5,1140.5,4.5,179.55,11.0,1.0,0.0,0.0,1,40.0,60.71,9.09,16.8
Stefan Târnovanu,ROU,FCSB,UEFA Europa League,GK,Goalkeeper,25,371,7.04,1.7,5.34,2.06,0.19,0.24,6.31,16.25,24.02,5.09,901.33,8.25,435.23,17.47,1.21,0.49,5.65,1,75.85,38.83,6.93,22.2
Stefano Turati,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,23,90,4.0,2.0,2.0,1.2,-0.8,0.0,0.0,16.0,23.0,4.0,936.1,3.0,201.9,9.0,1.0,1.0,10.0,1,50.0,0.0,11.11,15.0
Sławomir Abramowicz,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,21,360,2.0,0.5,1.5,0.62,0.12,0.75,1.5,8.25,19.0,2.5,617.6,5.25,198.52,14.0,0.5,0.0,0.0,1,75.0,18.18,3.57,23.25
Temirlan Anarbekov,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,22,360,7.5,1.5,6.0,2.62,1.12,0.25,3.0,10.75,23.5,5.25,844.58,4.25,168.88,19.25,0.5,1.25,30.8,1,80.0,27.91,2.6,27.95
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,33,2160,3.83,0.88,2.96,0.97,0.09,0.42,3.0,9.33,30.17,4.67,918.83,4.25,177.08,10.08,0.67,1.83,37.48,1,77.28,32.15,6.65,19.57
Thomas Strakosha,ALB,AEK Athens,UEFA Europa Conference League,GK,Goalkeeper,30,540,3.83,1.17,2.83,1.3,0.13,0.33,3.83,9.67,22.5,3.33,735.97,6.17,210.7,11.83,1.0,0.83,14.92,1,73.89,39.61,8.45,25.08
Théo De Percin,MTQ,Auxerre,French Ligue 1,GK,Goalkeeper,24,226,4.38,1.59,2.79,1.12,-0.48,0.0,6.37,20.71,29.07,2.39,1233.6,4.78,289.04,16.33,1.19,1.59,29.51,1,63.7,30.76,7.29,16.29
Timon Wellenreuther,GER,Feyenoord,UEFA Europa League,GK,Goalkeeper,30,540,4.0,2.17,1.83,1.83,-0.33,0.0,5.5,13.0,33.17,4.17,1116.02,2.17,74.17,9.67,0.67,2.0,38.8,1,45.75,42.31,6.93,20.93
Timothy Fayulu,NAN,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,26,450,2.4,1.0,1.4,0.9,-0.1,0.2,3.0,9.2,34.8,3.0,1040.82,6.4,202.0,11.2,0.6,2.0,29.42,1,58.33,32.61,5.36,21.88
Tommaso Martinelli,ITA,Fiorentina,UEFA Europa Conference League,GK,Goalkeeper,19,180,4.5,1.5,3.0,1.55,0.05,0.0,1.5,5.0,31.5,9.0,734.3,3.5,52.6,13.5,0.5,1.0,13.3,1,66.67,30.0,3.7,22.96
Unai Simón,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,28,2250,4.08,1.36,2.76,1.26,-0.1,0.28,4.68,15.96,28.8,4.2,1029.54,5.08,299.22,10.08,1.0,2.6,59.85,1,67.65,29.32,9.92,20.89
Uğurcan Çakır,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,29,517,3.66,1.22,2.61,1.2,-0.3,0.35,6.62,17.58,37.78,3.83,1419.91,4.18,186.28,12.36,0.35,1.22,25.31,1,71.31,37.66,2.83,23.38
Vanja Milinković-Savić,SRB,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,1710,3.26,1.05,2.16,1.03,-0.03,0.37,5.16,15.47,36.53,3.42,1232.28,6.16,316.0,10.89,0.68,1.53,28.0,1,66.26,33.35,6.24,20.93
Vasilios Barkas,GRE,Utrecht,UEFA Europa League,GK,Goalkeeper,31,425,5.93,1.48,4.45,1.46,-0.02,0.0,5.72,15.04,27.53,2.54,926.41,7.84,366.46,10.8,0.42,1.06,16.81,1,75.04,38.03,3.89,18.48
Vitezslav Jaros,CZE,Ajax,UEFA Champions League,GK,Goalkeeper,24,360,5.0,2.5,2.5,1.58,-0.92,0.0,2.5,8.75,40.25,4.5,1092.1,4.25,167.32,7.25,0.25,1.0,22.72,1,50.0,28.57,3.45,15.8
Walter Benítez,ARG,Crystal Palace,UEFA Europa Conference League,GK,Goalkeeper,32,180,1.5,1.0,0.5,1.0,0.0,0.5,2.0,6.5,21.5,4.5,636.6,3.5,80.5,5.5,0.5,0.5,6.2,1,33.33,30.77,9.09,22.22
Wessel Speel,NED,Shelbourne FC,UEFA Europa Conference League,GK,Goalkeeper,24,630,5.14,1.14,4.29,1.1,-0.04,0.29,8.71,22.71,21.14,2.43,946.59,11.43,662.21,14.14,0.71,0.0,0.0,1,83.46,38.35,5.02,17.86
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,30,1530,4.35,1.35,2.88,1.45,0.1,0.35,6.0,21.12,26.47,2.65,1176.73,4.82,256.54,15.0,0.59,1.12,18.33,1,66.21,28.41,3.93,22.07
Wojciech Szczęsny,POL,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,35,810,4.67,1.89,2.67,1.91,0.02,0.0,2.0,6.78,31.33,5.33,802.48,5.0,142.54,8.44,0.22,3.56,85.07,1,57.17,29.5,2.61,23.38
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,37,1890,3.19,0.86,2.33,0.82,-0.04,0.48,3.38,8.29,32.9,3.67,920.3,4.38,147.6,10.33,0.57,1.0,23.84,1,73.04,40.77,5.52,18.78
Yehvann Diouf,SEN,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,26,1890,5.43,1.95,3.48,1.62,-0.33,0.1,3.43,9.24,32.05,5.48,909.89,3.62,145.21,16.14,1.1,0.71,13.59,1,64.09,37.12,6.82,19.12
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,31,1260,3.29,1.5,1.93,1.2,-0.3,0.14,3.86,10.36,33.29,3.21,1022.23,3.21,156.08,17.36,1.21,0.43,6.63,1,58.66,37.26,6.97,21.4
Zion Suzuki,JPN,Parma,Italian Serie A,GK,Goalkeeper,23,990,4.55,1.27,3.18,1.19,-0.08,0.27,9.0,22.73,32.27,3.91,1357.32,8.18,500.24,15.09,1.0,1.64,38.21,1,69.89,39.6,6.63,18.28
Zlatan Alomerović,GER,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,34,540,2.17,0.17,2.0,0.35,0.18,0.83,3.5,11.33,22.17,4.17,759.08,5.5,249.68,14.5,1.17,1.17,27.92,1,92.17,30.89,8.07,14.87
Álex Remiro,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,30,1620,3.33,1.44,1.94,1.16,-0.28,0.06,5.94,13.44,30.67,3.78,976.99,6.33,298.19,11.61,0.83,1.5,32.32,1,58.26,44.2,7.15,20.29
Álvaro Vallés,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1440,3.81,1.19,2.69,1.07,-0.12,0.44,2.5,9.75,27.62,3.62,893.16,4.81,190.39,13.75,0.69,1.62,29.02,1,70.6,25.64,5.02,19.83
Ørjan Nyland,NOR,Sevilla,Spanish La Liga,GK,Goalkeeper,35,360,4.0,1.75,2.25,1.58,-0.18,0.25,3.25,12.0,28.5,3.25,1006.42,4.0,224.48,12.75,0.0,1.25,23.72,1,56.25,27.08,0.0,22.22
Đorđe Petrović,SRB,Bournemouth,English Premier League,GK,Goalkeeper,26,1800,4.6,1.9,2.75,1.57,-0.33,0.25,3.8,12.0,22.65,5.0,740.6,6.75,326.95,12.85,1.1,1.75,28.38,1,59.78,31.67,8.56,20.4
Łukasz Skorupski,POL,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,34,1177,3.14,0.84,2.22,0.89,0.05,0.31,3.82,11.78,38.92,3.67,1207.09,4.82,200.49,9.79,0.61,0.61,9.79,1,70.7,32.43,6.23,20.04
Žan Leban,SVN,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,23,540,6.33,1.17,5.17,1.45,0.28,0.33,2.0,6.83,29.17,5.67,781.75,6.83,216.23,14.67,1.17,2.17,39.27,1,81.67,29.28,7.98,18.71
