Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Vanja Milinković-Savić,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,SRB,28,1890,70.0,24.0,45.0,23.0,-1.0,7,106.0,312.0,753.0,73.0,25365.0,132.0,6530.5,226.0,17.0,32.0,609.4
Vasilios Barkas,Utrecht,UEFA Europa League,GK,Goalkeeper,GRE,31,425,28.0,7.0,21.0,6.9,-0.1,0,27.0,71.0,130.0,12.0,4374.7,37.0,1730.5,51.0,2.0,5.0,79.4
Vitezslav Jaros,Ajax,UEFA Champions League,GK,Goalkeeper,CZE,24,360,20.0,10.0,10.0,6.3,-3.7,0,10.0,35.0,161.0,18.0,4368.4,17.0,669.3,29.0,1.0,4.0,90.9
Walter Benítez,Crystal Palace,UEFA Europa Conference League,GK,Goalkeeper,ARG,32,180,3.0,2.0,1.0,2.0,0.0,1,4.0,13.0,43.0,9.0,1273.2,7.0,161.0,11.0,1.0,1.0,12.4
Wessel Speel,Shelbourne FC,UEFA Europa Conference League,GK,Goalkeeper,NED,24,630,36.0,8.0,30.0,7.7,-0.3,2,61.0,159.0,148.0,17.0,6626.1,80.0,4635.5,99.0,5.0,0.0,0.0
Wladimiro Falcone,Lecce,Italian Serie A,GK,Goalkeeper,ITA,30,1710,79.0,27.0,51.0,27.0,0.0,6,120.0,407.0,519.0,51.0,23091.8,89.0,4603.2,277.0,12.0,19.0,311.6
Wojciech Szczęsny,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,POL,35,810,42.0,17.0,24.0,17.2,0.2,0,18.0,61.0,282.0,48.0,7222.3,45.0,1282.9,76.0,2.0,32.0,765.6
Yann Sommer,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,SUI,37,2070,70.0,20.0,50.0,18.6,-1.4,11,81.0,191.0,738.0,79.0,20670.8,99.0,3443.7,230.0,12.0,24.0,545.3
Yehvann Diouf,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SEN,26,1890,114.0,41.0,73.0,34.0,-7.0,2,72.0,194.0,673.0,115.0,19107.6,76.0,3049.5,339.0,23.0,15.0,285.4
Yvon Mvogo,Lorient,French Ligue 1,GK,Goalkeeper,SUI,31,1260,46.0,21.0,27.0,16.8,-4.2,2,54.0,145.0,466.0,45.0,14311.2,45.0,2185.1,243.0,17.0,6.0,92.8
Zion Suzuki,Parma,Italian Serie A,GK,Goalkeeper,JPN,23,990,50.0,14.0,35.0,13.1,-0.9,3,99.0,250.0,355.0,43.0,14930.5,90.0,5502.6,166.0,11.0,18.0,420.3
Zlatan Alomerović,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,GER,34,540,13.0,1.0,12.0,2.1,1.1,5,21.0,68.0,133.0,25.0,4554.5,33.0,1498.1,87.0,7.0,7.0,167.5
Álex Remiro,Real Sociedad,Spanish La Liga,GK,Goalkeeper,ESP,30,1710,63.0,27.0,37.0,21.1,-5.9,1,116.0,263.0,582.0,69.0,18734.8,123.0,5840.9,221.0,16.0,28.0,597.7
Álvaro Vallés,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ESP,28,1530,64.0,20.0,45.0,17.3,-2.7,7,44.0,172.0,509.0,62.0,16307.2,80.0,3124.2,244.0,12.0,30.0,570.0
Ørjan Nyland,Sevilla,Spanish La Liga,GK,Goalkeeper,NOR,35,360,16.0,7.0,9.0,6.3,-0.7,1,13.0,48.0,114.0,13.0,4025.7,16.0,897.9,51.0,0.0,5.0,94.9
Đorđe Petrović,Bournemouth,English Premier League,GK,Goalkeeper,SRB,26,1890,96.0,40.0,57.0,33.2,-6.8,5,79.0,252.0,467.0,101.0,15518.9,136.0,6593.0,274.0,24.0,35.0,567.5
Łukasz Skorupski,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,POL,34,1177,41.0,11.0,29.0,11.6,0.6,4,50.0,154.0,509.0,48.0,15786.0,63.0,2621.9,128.0,8.0,8.0,128.0
Žan Leban,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,SVN,23,540,38.0,7.0,31.0,8.7,1.7,2,12.0,41.0,175.0,34.0,4690.5,41.0,1297.4,88.0,7.0,13.0,235.6
